j=1000
  Avg:0.009559999999999961 Std:0.03120114838655781
j=10000
  Avg:-0.03506000000000049 Std:0.10026626291849115
         3949389 function calls (3903366 primitive calls) in 49.171 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      462    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      297    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
     1438    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      528    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.009    0.009 numeric.py:1(<module>)
     1535    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.003    0.003 numerictypes.py:1(<module>)
      214    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
  238/215    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
     1616    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        3    0.000    0.000    0.000    0.000 font_manager.py:1403(_get_font)
 1859/260    0.000    0.000    0.002    0.000 abc.py:121(__subclasscheck__)
      961    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
     1153    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      213    0.000    0.000    0.001    0.000 fromnumeric.py:69(_wrapreduction)
       17    0.000    0.000    0.007    0.000 rcsetup.py:710(validate_cycler)
      297    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      754    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
     2382    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       88    0.000    0.000    0.001    0.000 typing.py:1016(__init__)
      731    0.000    0.000    0.000    0.000 rcsetup.py:180(validator)
      227    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
      169    0.000    0.000    0.001    0.000 core.py:4349(__init__)
      459    0.000    0.000    0.001    0.000 contextlib.py:279(helper)
      255    0.000    0.000    0.001    0.000 sre_parse.py:85(opengroup)
       97    0.000    0.000    0.001    0.000 path.py:99(__init__)
        1    0.000    0.000    0.002    0.002 pyplot.py:2025(_setup_pyplot_info_docstrings)
      236    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.026    0.009 core.py:1(<module>)
     1646    0.000    0.000    0.000    0.000 {method 'popitem' of 'collections.OrderedDict' objects}
       14    0.000    0.000    0.000    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        1    0.000    0.000    0.113    0.113 _mathtext.py:1967(__init__)
       64    0.000    0.000    0.002    0.000 deprecation.py:318(delete_parameter)
       50    0.000    0.000    0.001    0.000 pathlib.py:56(parse_parts)
        2    0.000    0.000    0.001    0.000 histograms.py:678(histogram)
  459/441    0.000    0.000    0.003    0.000 contextlib.py:130(__enter__)
