         12317905 function calls (12276807 primitive calls) in 15.128 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      374    0.000    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      542    0.000    0.000    0.001    0.000 artist.py:81(_stale_axes_callback)
      316    0.000    0.000    0.000    0.000 {method 'replace' of 'code' objects}
      622    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
       63    0.000    0.000    0.001    0.000 colors.py:999(<dictcomp>)
       50    0.000    0.000    0.018    0.000 text.py:872(get_window_extent)
     1678    0.000    0.000    0.001    0.000 core.py:1924(__hash__)
    549/9    0.000    0.000    0.997    0.111 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      307    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
     2763    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        3    0.000    0.000    0.000    0.000 font_manager.py:1403(_get_font)
     1537    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      200    0.000    0.000    0.000    0.000 sre_compile.py:265(_compile_charset)
      114    0.000    0.000    0.386    0.003 artist.py:1730(kwdoc)
     1092    0.000    0.000    0.001    0.000 font_manager.py:1304(<genexpr>)
      868    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
    174/1    0.000    0.000    0.408    0.408 artist.py:32(draw_wrapper)
     2381    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      136    0.000    0.000    0.000    0.000 std.py:108(release)
      226    0.000    0.000    0.018    0.000 sre_compile.py:622(_code)
      566    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       24    0.000    0.000    0.000    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       18    0.000    0.000    0.000    0.000 arrayprint.py:1568(_guarded_repr_or_str)
      618    0.000    0.000    0.004    0.000 colors.py:111(is_color_like)
       96    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        7    0.000    0.000    0.001    0.000 enum.py:553(<listcomp>)
       16    0.000    0.000    0.001    0.000 ticker.py:787(_set_format)
      312    0.000    0.000    0.001    0.000 lines.py:1149(_set_markercolor)
      104    0.000    0.000    0.001    0.000 lines.py:1087(set_linestyle)
     1624    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      658    0.000    0.000    0.000    0.000 exceptions.py:24(__init__)
